id,description
1,"PCMA Convening Leaders - A leader in the business events industry, PCMA and their annual conference provides insight into unique business strategies and learning experiences."
2,"CES (Consumer Electronics Show) - CES brings together all of the biggest players in the consumer tech space. One of the largest trade shows in the US, this is innovation at its finest."
3,"DLD20 (Digital Life Design)	- A conference held in multiple international cities, DLD connects business, thought leaders, and influencers for cross-over discussion."
4,"CPX 360 Bangkok - Cyber Security Conference	- CPX 360 - the industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue for keynotes, conference sessions on the latest technologies, and hands-on labs covering the latest innovations for responding to the future threat landscape."
5,"Digital Geospatial Intelligence (DGI) -	DGI has military, civilian and industry geospatial intelligence leaders at this year's meeting in London to discuss new policy developments and the latest in technology."
6,"Cisco Live - Imagine the future with intuitive IT. IT that informs, connects, predicts and enables. Discover what's possible at Cisco Live."
7,"CPX 360 New Orleans - Cyber Security Conference - the industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue for keynotes, conference sessions on the latest technologies, and hands-on labs covering the latest innovations for responding to the future threat landscape."
8,"KickStart Europe - The KickStart conference provides a venue for important thought leaders from the digital infrastructure industry and the ecosystem, to share trends, opinions and ideas​."
9,"AdExchanger's Industry Preview - 2 days focused on what to expect in the next 12 months in marketing technology."
10,"Digital Transformation In Sports Summit	- The Digital Transformation in Sports Summit, provides the platform for world-leading insights on how global and domestic sports, media and technology brands can optimize digital technology for improving fan engagement and experience while expanding revenue streams through digital innovation."
11,"Deep Learning Summit - Bridging the gap between the latest technological research advancements and real-world applications in business and society. Passes now allow access to the AI Assistant track and Applied AI track for free."
12,"East Meets West	- The startup event of the year in Hawaii – bringing together investors and entrepreneurs from Asia, Hawaii and North America."
13,"The Deep Learning Summit - Bridging the gap between the latest technological research advancements and real-world applications in business and society. Passes now allow access to the AI Assistant track and Applied AI track for free."
14,"dotSwift - This event invites the best and brightest hackers in the ever-expanding Swift community to explore new horizons."
15,"Future Festival: Seattle - Over the course of one action-packed day, you will learn about future trends, key consumer insights, and disruptive innovations that will cause major industry shifts."
16,"CPX 360 Cyber Security Conference -	The industry’s premier cyber security summit and expo - brings together the world’s leading cyber security experts all in one venue. By attending you will gain a deep understanding of the current challenges cyber security professionals face in the rapidly changing cyber threat landscape."
17,"Digiday Media Buying Summit - Digiday Media Buying Summit will explore what goes into building a smarter media buying operation. Through a series of smart, honest discussions, you'll learn how media buyers are approaching everything from spending more efficiently across programmatic, video, social and advanced TV to implementing new technologies like blockchain and AI."
18,"MicroStrategy World 2020 -	Three days, 162 sessions, innovative organizations from around the world will come together to share a vision for the future of enterprise analytics, mobility, and data-driven insight."
19,"Future Festival: Minneapolis - By combining research-backed keynote sessions with an immersive afterparty experience, learn about the future of trends and consumer insights in a whole new way."
20,"Pause Fest - Pause Fest is an independent, industry-driven movement with a mission to bring diverse intelligence together to fuel the next generation forward. "
21,"Microsoft Ignite - Explore the latest platform tools and cloud technologies and learn how to put your skills to work in new areas. Connect with our community to gain practical insights and best practices to help meet the expectations of the organizations, agencies, and citizens you serve."
22,"Future Festival: Orlando - A 1 Day Trends & Innovation Program that will train your team in the must-know consumer insights, trends and innovations surrounding your industry."
23,"Future Stores Miami - At Future Stores Miami, you’ll explore how leading retailers are overhauling their in-store experience and balancing high tech with high touch. You’ll walk away with actionable strategies to use store technology effectively, retool your front line associates and create the store experience of the future."
24,"IMPACT 2020	- IMPACT brings together the top talent in the world to present in-depth research and knowledge pertaining to digital transformation topics—from cloud, to security, IoT, AI, and so much more."
25,"Startup Grind Global Conference	- Global 2020 is the most important event for startups, tech leaders, and big brands at the forefront of innovation. 10,000 people from around the globe converge on Silicon Valley for 2-days of nonstop education, inspiration, and invaluable networking spanning 10 stages, 100+ sessions, and social events."
26,"STEP Conference	- With 4 conferences, more than 250 startups showcasing, and 6000+ attendees over two days, STEP is home to the best entrepreneurs, creatives, and digital enthusiasts."
27,"Developer Week - DeveloperWeek is the world’s largest developer expo and conference series with over 50 week-long events."
28,"Mobile Growth Summit 20 - MGS is a two-day, non-vendor conference in San Francisco which will help you to connect with and learn from mobile growth and brand marketing professionals specializing in the areas of user acquisition, monetization, retention/engagement, re-engagement as well as data science & analytics as it pertains to mobile, retail and mCommerce brands."
29,"2020 OurCrowd Global Investor Summit - In February, the startup world converges in Jerusalem. Entrepreneurs, venture capitalists, corporations, investors come to network, learn, do business, and discover the most historic city in the most exciting country in the world."
30,"E-commerce Berlin Expo - E-commerce Berlin Expo is the biggest pure-play e-commerce event in the (tech) capital city of Germany with over 7,000 visitors and 180 exhibitors."
31,"Startup Impact Summit -	Startup Impact Summit focuses on impact, created by regional and international startups, driven by successful cases of co-innovation projects between startups and corporates and by leveraging the strength of connecting ecosystems."
32,"Texas A&M University System Technology Summit - The Texas A&M University System Technology Summit includes three keynotes and 48 breakout sessions centered around learning, exchange ideas on common technology challenges, and having fun."
33,"Gartner Data & Analytics Summit - At Gartner Data & Analytics Summit 2020, the event content will focus on a future based on data you can trust, analytics you can rely on, and the insight you need to make game-changing business decisions."
34,"DevNexus - The goal of the Devnexus Conference is to connect developers from all over the world, provide affordable education, and promote Open Source values."
35,"SMX West - Search Marketing Expo is the leading conference for SEO & SEM professionals, helping marketers succeed with actionable tactics."
36,"O'Reilly: Software Architecture Conference - Fast-paced and practical, the O’Reilly Software Architecture Conference provides the design, development, and deployment training that veteran and aspiring software architects, engineers, and senior developers need."
37,"Gartner CIO Leadership Forum - In 2020, CIOs will see the use of digitalized products and services drive new forms of growth. New sources of revenue, business value and opportunities to engage with customers and citizens require you to lead your organization to the next level. Gain the inspiration, leadership skills and strategic ideas you need to succeed in this new era."
38,"Mobile World Congress - Mobile World Congress is the world’s largest gathering for the mobile industry, organized by the GSMA and held in the Mobile World Capital Barcelona."
39,"RSA Conference - One of the largest cybersecurity conferences in the world, attendees discover the latest technology and interact with top security leaders and pioneers."
40,"Digiday Publishing Summit - At the Digiday Publishing Summit, we'll discuss how publishers are keeping up with both internal and external pressures to find harmony -- from audience models, to advertising versus subscriptions, even balancing the strength of a brand."
41,"EmTech Asia 2020 - EmTech Asia is the showcase for the emerging technologies with the greatest potential to change our lives and an access point to the most innovative people and companies in the world. The event is an opportunity to glimpse the future and understand the technologies that will change the face of business and drive the new global economy."
42,"Visual Studio LIVE!: Las Vegas - The conference highlights how far technology has come in 25+ years, while looking toward the future with their unique brand of training on .NET, the Microsoft Platform and open source technologies in six great cities across the US."
43,"Gartner Application Architecture, Development & Integration Summit - This conference features in-depth research and advanced best practices in application strategies, business application management, mobile applications, modern application architecture, and emerging technologies including advances in Blockchain."
44,"Vueconf.us - Vue.js is an open-source JavaScript framework for building user interfaces. Vueconf.us is the second ever Vue.js conference in the United States and will be hosted by Evan You as well as other core committers to the project."
45,"ConveyUX - ConveyUX is the annual gathering of UXers in the Pacific Northwest. It is a showcase of local and international talent in the research and design of products and services."
46,"2020 OCP Global Summit - A 2-day event that features a stellar lineup of speakers, demonstrations, booths and networking opportunities."
47,"SummitX Jackson Hole - An epic convergence of business, tech, and leadership experience. This winter be a part of an amazing group of leaders in business and tech who come together for an epic experience around brand leadership & big mountain adventure."
48,"App Growth Summit LA 2020 -	Dozens of sessions, presentations, workshops, and expert-led discussion panels will provide Los Angeles with the second ever event of this kind. Perfectly placed between the start-up meet-ups and the large conventions, App Growth Summit LA 2020 will feature limited vendors and maximum connections and learning opportunities!"
49,"Code Beam SF - Created for developers, by developers, Code BEAM SF is dedicated to bringing the best minds in the Erlang and Elixir communities together to SHARE. LEARN. INSPIRE. over two days."
50,"SCALE 18x -	SCALE is North America's leading community run open source conference. Attend over 100 sessions and dozens of workshops on topics ranging from Linux, to config management, containers, devops and more."
51,"DataFest 2020 - DataFest20 consists of 6 events running across Scotland. Now in its fourth year, DataFest will showcase Scotland's leading role in data science and artificial intelligence on the international stage, while offering an unprecedented networking platform where you can interact with local and international talent, industry, academia and data enthusiasts."
52,"Empowering Beyond Summit 2020 -	Go beyond ‘digital’ to discover how technology can be used to create both economic and social value while exploring how digital solutions, strategic sourcing, and automation drive real business value."
53,"INDUSTRY: The Product Conference - Building world-class software products is hard. At INDUSTRY you will see how others manage product in different environments, from fast-paced startups to complex large enterprises."
54,"SATELLITE 2020 - 15,000+ connectivity professionals will convene for SATELLITE 2020 to further their knowledge of satellite communications and space technology. Through forward-looking keynotes and in-depth sessions in the conference program, they'll explore the latest innovations and steps forward in building the future of connectivity."
55,"SaaStr Annual 2020 - The Annual is the largest non-vendor confab in the world, uniting the global SaaS community both online and off."
56,"600Minutes Executive IT	- Join CIOs, other C-levels, visionary leaders and forward-thinking top executives in our unique peer-to-peer brainstorming sessions on the latest IT innovations."
57,"SXSW - Celebrating the convergence of the interactive, film, and music industries."
58,"QtDay -	A unique conference about Qt Framework in Florence, Italy."
59,"JavaScript fwdays’20 - JavaScript fwdays’20 is a large scale conference for JS developers, which gathers up to 900 participants 8 years in a row."
60,"Strata Data Conference: California - A 4-day immersion in the most challenging problems, intriguing use cases, and enticing opportunities in data today."
61,"Design Thinking and Innovation Week - A unique program for creative entrepreneurs, designers and business owners – introducing you to London's most innovative businesses and uncovering the latest approaches to design thinking and innovation."
62,"Data Center World -	Data Center World is the global conference for data center facilities and IT professionals. It offers premier education, abundant networking, and the broadest access to best-in-class vendors."
63,"ABM Innovation Summit -	Although everyone is talking about Account-Based Marketing, many marketers are barely scratching the surface of it. With new technologies like AI redefining what’s possible, it’s time to move beyond pilot programs, turn ABM loose and go all in."
64,"AI & Big Data Expo Global - The AI Conference & Exhibition is a showcase of next generation technologies and strategies from the world of Artificial Intelligence, an opportunity to explore and discover the practical and successful implementation of AI in driving forward your business in 2020 and beyond."
65,"TechNova: AI in Financial Services - From banks to start-ups and insurers to investors, TechNOVA: AI in Financial Services will gather together the greatest minds to expand understandings of AI, and build practical knowledge on how to develop real, implementable systems."
66,"DevOps Talks Conference	- DevOps Talks Conference attracts leaders and engineers who are practicing DevOps in startups and leading-edge enterprise companies."
67,"ad:tech New Delhi - India's #1 marketing and media technology event, where marketing, technology and media communities come together to share new ways of thinking."
68,"GPU Technology Conference - GTC attracts developers, researchers, and technologists from some of the top companies, universities, and government agencies from around the world."
69,"Venture Summit West - This summit connects the most innovative, promising, venture-backed, emerging growth and early stage companies with active investors, investment bankers, advisors and corporate professionals. (Use the promo code BIZZABOVIP for a discount on your ticket here.)"
70,"Business of Software Europe	- Business of Software is a single-track conference to help you build great software and turn it into profitable business."
71,"DevOps Talks Conference - DevOps Talks Conference attracts leaders and engineers who are practicing DevOps in startups and leading-edge enterprise companies."
72,"Gartner Data & Analytics Summit	- The Summit brings together a unique, global community of D&A leaders from a broad range of industries, specialist D&A technology visionaries and providers, inspirational guest speakers and respected analysts."
73,"Business Transformation & Operational Excellence World Summit - This world-class event has been driven by the huge industry demand for a cross-industry, operational excellence event that is energizing, inspiring, and engaging."
74,"Linaro Connect - Since 2010, this has been the event to attend if you are interested in open source software development for Linux, tools and the various vertical segment ecosystems that use Arm processors."
75,"Future Festival: Cincinnati - The event offers an unprecedented look at the future of trends and innovation. Using research gathered by the world’s #1 trend firm, Future Festival provides tips, tools, and strategies to navigate important industry changes and ultimately ensure long term success."
76,"World Summit AI Americas - The world’s most influential and important AI summit is coming to the Americas in March 2020! The entire global AI ecosystem of Enterprise, Big Tech, Startups, Investors and Science, and the brightest brains in AI as speakers will gather for two days. The mission? To tackle head-on the most burning AI issues and set the global AI agenda."
77,"IoT Device Security Summit - This Conference is devoted to tackling the complex challenges of IoT design and implementations of device security and designed specifically for IoT product developers, engineers and managers concerned about IoT device security."
78,"Future Festival: Atlanta - The event offers an unprecedented look at the future of trends and innovation. Using research gathered by the world’s #1 trend firm, Future Festival provides tips, tools, and strategies to navigate important industry changes and ultimately ensure long term success."
79,"Adobe Summit - The premier event for digital marketing professionals, Summit has the latest insights from the world’s leading digital marketing experts."
80,"CloudNativeCon and KubeCon Europe - Join Fluentd, Kubernetes, Linkerd, OpenTracing, Prometheus, and more, as leading technologists from multiple open source cloud native communities gather to further the education and advancement of cloud native computing."
81,"dotGo - This event invites 850+ of the best and brightest hackers in the community to explore new horizons."
82,"RISE - People from the world’s biggest companies and most exciting startups come to Hong Kong to share their stories and experiences at RISE."
83,"STACK 2020 - STACK is GovTech’s flagship conference and the largest government-led developer event in Singapore that connects government, industry and the tech community."
84,"Visual Studio Live! Austin Road Trip - As the development world's trusted educational provider of developer-focused technical content since 1993, Visual Studio Live! provides attendees with cutting-edge techniques needed to solve development challenges with shipping or soon to be shipping technologies compatible with the Microsoft Platform."
85,"Black Hat Asia - The information security community will come together for hands-on Trainings taught by industry experts, cutting-edge research presentations at Briefings, open-source tool demos in Arsenal, and the Business Hall featuring top-tier solutions and service providers."
86,"AI in Finance & Insurance Summit - Discover advances in deep learning tools and techniques from the world's leading innovators across industry, research and the financial sector."
87,"37 Angels NYC Bootcamp - A rigorous 2-day immersion with Angela Lee to learn how to source, select,, value and invest in early stage startups through workshops, hands-on application, and case studies. "
88,"Artificial Intelligence Conference: New York - From bots and agents to voice and IoT interfaces, learn how to implement AI in real-world projects using machine learning, NLP, Tensorflow, and more."
89,"Cloud Data Summit - Cloud Data Summit brings together over 1000 tech and non-tech leaders, data scientists, and data engineers. "
90,"Cloud Foundry -	Cloud Foundry Summit is the premier event for enterprise app developers."
91,"Digifest - Digifest is a 3 day design & tech festival, as well as a startup event, organized annually by the Digital Media and Gaming Incubator at George Brown College. Thought leaders, entrepreneurs, students and creatives from all industries come together for three days to share compelling digital content and discuss the future of design & technology."
92,"Frontiers - Frontiers is an annual conference by Slack that explores the future of work. Come learn how your company can embrace new ways of working—achieving agility and a competitive edge in the process."
93,"HardwareCon	- HardwareCon is a 2-day conference that brings together over 600 global thought leaders, entrepreneurs and innovators in the hardware ecosystem to get deals done. "
94,"Landing Festival - Berlin - Landing Festival is a 2-day event which provides tech professionals with curated talks and workshops on the latest trends, career advice, and networking opportunities within the tech community. "
95,"Seedstars Summit - Connect with investors, government officials, corporate innovators and CEOs from Africa, Asia, LATAM, CEE and the MENA region."
96,"Spark + AI Summit 2020 - The sessions and training at this conference will cover data engineering and data science content along with best practices for productionizing AI: keeping training data fresh with stream processing, monitoring quality, testing, and serving models at massive scale."
97,"Strata Data Conference: London - The largest gathering of the Apache Hadoop community, Strata Data Conference brings together leading big data practitioners and business strategy decision makers to develop new skills, share best practices, and lay a foundation for the future."
98,"Customer Validation Virtual Conference - The Customer Validation Conference focused on providing you the tools and knowledge you need to engage your customers and release profitable, successful products."
99,"Open Data Science Conference East - ODSC East is one of the largest applied data science conferences in the world. Our speakers include some of the core contributors to many open source tools, libraries, and languages."
100,"Sharepoint Fest DC - Attend technical classes and workshops taught by Microsoft Certified Trainers, Microsoft engineers and Microsoft MVPs."
101,"JS Kongress 2020 - The focus of JS Kongress 2020 is Scaling JS – Pushing the Limits: Massive Platforms, Data-Driven Architectures, and Modern APIs."
102,"React Amsterdam - A full-day, two-track conference on all things React, gathering Front-end and Full-stack developers across the globe in the tech heart of Europe."
103,"droidcon 2020 -	Droidcon Italy 2020 is the biggest Android conference for developers in Europe."
104,"Running Remote - If you are serious about managing remote teams, this event is for you. Running Remote is carefully curated to teach you next-level, actionable strategies and tactics you can utilize the very next day to manage and grow your distributed team."
105,"ContentTECH 2020 - Attend ContentTECH Summit to learn how new technologies and innovative processes are fundamentally changing what our work will look like in the next two to five years. Learn from practitioners and experts in content technology and marketing strategy."
106,"Running Remote - At the Running Remote Conference, get practical advice from leading CEO's, Founders, and Project Managers who build and manage remote teams. No fluff, no muss. Just hard hitting tips from inside the trenches."
107,"SuiteWorld - The #1 Cloud ERP conference that gathers all Netsuite users, partners, and developers."
108,"TED2020 - A week to explore the deepest insights across all disciplines and to ask the questions about ourselves that we often don’t have time for."
109,"Leeds Digital Festival - Leeds Digital Festival is a two-week long, city-wide festival that features a range of events, including Fintech, AI, coding, Healthtech, cyber security, data, startups, AR/VR and many more."
110,"DIG South Tech Summit - Where leading brands meet the smartest startups with a focus in technology, business, and marketing."
111,"Alabama Business Technology Conference - The inaugural Alabama Business Technology Conference will connect Alabama businesses with the leaders in business technology, and the future leaders of the IT workforce."
112,"Dublin Tech Summit - Bringing together the brilliant minds behind some of the best technologies, companies, projects and communities born in Ireland to step into the future of tech."
113,"FUND SaaS and Architecture - FUND is a national connector of entrepreneurs, VCs, angel investors, and industry experts with a focus on curated deal flow, captivating content, and same day connections."
114,"REFACTR.TECH - For three days, REFACTR.TECH focuses on technology while creating a safe space for thoughtful and nuanced conversations around diversity, inclusion, and intersectionality in tech. We’ll be featuring marginalized people and allies doing amazing work."
115,"TechDay NY - With over 20,000 attendees including investors, startups, reporters, and early adopters, come meet the entire New York startup community."
116,"App.js Conf - A hands-on two-day conference with workshops focused on React Native, organized by EXPO and Software Mansion. First edition was organized in 2019 in Krakow and brought together more than 200 devs from all over the world."
117,"Kafka Summit 2020 - Kafka Summit is the premier event for data architects, engineers, devops professionals, and developers who want to learn about streaming data. It brings the Apache Kafka community together to share best practices, write code, and discuss the future of streaming technologies."
118,"Red Hat Summit - Red Hat Summit is dedicated to those interested in open source - celebrating the individuals, builders, and explorers of the community."
119,"GOTO Chicago - A full stack of software development conference: Cloud Native, Machine Learning, Microservices, Programming Languages, DevOps, Serverless, Security, Human side of Tech and much more! Speakers are all leading industry experts. Learn the practical know-how to advance your skills!"
120,"XR Europe 2020 - Europe’s premier immersive tech event, bringing together 300+ senior business leaders across enterprise, consumer entertainment, technology and investment to engage in in-depth discussions and case studies highlighting the key use-cases and revenue opportunities for XR across both consumer and enterprise markets."
121,"Recurring Revenue Conference - The premier conference for scaling SaaS and Subscription businesses."
122,"Test & Quality Summit - The Test & Quality Summit, Dublin 2020 is where global experts in testing, leaders in software quality and innovators, will come together for a one-day international conference on the next chapter in software testing and quality assurance."
123,"tabGeeks 2020 - From keeping networks secure, educating users and deciding what to put in the cloud or kept on prem, I.T. people have to do it all. tabGeeks is the only community exclusively for I.T. people, built by I.T. people."
124,"Conductor C3 - As the World's Biggest Organic Marketing Conference, C3 offers a perfectly calibrated, unique mix of marketing inspiration, innovation, and insight for digital marketers around content and SEO."
125,"Craft - Craft is an inclusive and professional conference about software crafts, presenting which tools, methods and practices should be part of the toolbox of a modern developer and company."
126,"Digital Publishing Innovation Summit 2020 - The Digital Publishing Innovation Summit series returns to London this June to bring you up-to-date with the rapidly changing digital media landscape. Join us for two days filled with keynote presentations, workshops, new research and new technologies that will help you to benchmark against competitors and rejuvenate your digital strategy."
127,"Facebook's F8 - At F8, developers and businesses explore what’s next in technology and learn about the new products and innovations Facebook is creating to bring the world closer together."
128,"MobilityX Conference - Our event is a gathering of global autonomous vehicle leaders featuring executive-level automotive professionals from across a range of industries discussing the changes in the transportation industry."
129,"MuleSoft Connect - A premier integration conference for CIOs, IT leaders and technologists to address the challenges of the new digital era. "
130,"NEXUS: ISRAEL - The NEXUS:ISRAEL innovation conference brings together leaders from the investment and finance communities with Hebrew University's innovators to address some of the most challenging global issues of the 21st Century."
131,"Pioneer's Festival - A meeting point for 2500 bold, pioneering entrepreneurs to look into the future and beyond. A global community of selected startups, executives and investors join forces to inspire, empower and create platforms where innovation can thrive and result in profitable new business relationships."
132,"Shopify Unite - Unite is Shopify's annual partner and developer conference that celebrates shared accomplishments and looks ahead at the future of the Shopify platform."
133,"Knowledge 2020 - The learning and networking opportunities you’ll find at Knowledge 2020 translate into real-world results. Join us for the sessions and solutions that will put you—and your company—on the path to lasting success!"
134,"Dell EMC World - Dell EMC World is the premier enterprise technology forum for IT practitioners and business decision makers.
135,Technology & Services World	- Learn how technology companies are designing and delivering an experience that unlocks profits for both customers and suppliers."
136,"Think 2020 - At one of the leading workplace tech conferences, attendees learn about the latest in collaboration solutions, content management, and machine learning."
137,"TSW	- Technology & Services World is a tech conference where executives from across the technology and services industry come to talk business, expand their professional networks, and get actionable insights on the latest tech industry trends."
138,"VRX Immersive Enterprise 2020 - This is a leading senior-level B2B conference for executives looking to unleash the potential of XR technology across enterprise. Bringing together global business leaders from AEC, Automotive, Manufacturing, Engineering, Retail, Pharma, Healthcare and more, the event is purpose built to look at how virtual, augmented & mixed reality are transforming training, collaboration, design, manufacturing and marketing across industry.."
139,"The Brand Safety Summit - The premier event that gathers the industry’s senior-most decision makers to address the challenges that media and marketing executives face as they create brand safe experiences."
140,"Gartner IT Symposium|Xpo - A symposium where CIOs and IT executives come to hone their leadership skills, refine their strategies and find the innovative technologies that will help to power their digital transformation."
141,"Gartner Tech Growth & Innovation Conference	- With a focus on software, hardware and service providers, this conference offers both short-term growth opportunities and long-term strategies. "
142,"I-COM Global Summit	- This is the world's leading Marketing Data & Measurement Strategy even where the who's who from Smart Data Marketing gather from around the world to Inspire, Connect and Develop."
143,"Programmatic I/O - The world's largest conference focusing on programmatic media and marketing."
144,"PULSE - The definitive global networking and learning conference for the customer success industry."
145,"SAPPHIRE NOW + ASUG Annual Conference - Over 20,000 business and IT executives from around the world come to learn about new SAP products and company roadmaps at one of the largest software user conferences in the world."
146,"CCB TechShowcase - The annual CCB TechShowcase, Wisconsin’s premier technology event, is the only tech conference in the state that brings the world’s top technology companies together for business leaders and IT decision makers to experience the latest in business technology. "
147,"IDTechEx - IDTechEx Show presents the latest emerging technologies to over 2,500 attendees at one event, with 9 concurrent technologies and a single exhibition covering 3D Printing, Electric Vehicles, Energy Harvesting, Energy Storage, Graphene, Internet of Things, and more. "
148,"infoShare - Every year infoShare bring together thousands of people looking for a platform to learn, connect and evolve. Technology, growth and community – these are the values of infoShare. "
149,"Chatbot Summit - Chatbot Summit is the world’s leading Chatbot event series with a mission to help the players of this newly formed economy grow faster, together."
150,"J On the Beach - JOTB is an international rendezvous for developers and devOps around Big Data technologies."
151,"FullStack NYC 2020 - FullStack 2020 conference returns to New York City for its second edition abroad following the success of FullStack NYC 2019 and FullStack London. Join us and learn from the foremost experts in JavaScript, NodeJS and IoT fields."
152,"Incite Marketing Summit	- Incite Marketing Summit West brings together Chief Marketing Officers from major US and global brands. Over 300 marketing leaders in attendance makes this one of the best brand-focused marketing conferences of the year."
153,"Mobile Growth Summit - MGS UK is a one-day, non-vendor conference which will help you to connect with and learn from mobile growth and brand marketing professionals specializing in the areas of user acquisition, monetization, retention/engagement, re-engagement as well as data science & analytics as it pertains to mobile, retail and mCommerce brands."
154,"Stableconf Colombia - A language-agnostic conference scalability, distributed systems, machine learning, security, DevOps and modern software tools and practices."
155,"Visual Studio Live! Nashville Code Trip - As the development world's trusted educational provider of developer-focused technical content since 1993, Visual Studio Live! provides attendees with cutting-edge techniques needed to solve development challenges with shipping or soon to be shipping technologies compatible with the Microsoft Platform."
156,"Brightcove PLAY - Brightcove PLAY is a global gathering of Brightcove customers, partners, and industry leaders at the forefront of the digital media revolution. Each year, media companies and marketers from around the world convene for hands-on learning, in-depth strategy sessions, next-generation product demos, all-star keynotes, and networking."
157,"Bucharest Technology Week - Buchrest Technology Week is a one-week festival across the city to celebrate the power of technology dedicated to tech lovers of all ages, whether they are students, business professionals or entrepreneurs. "
158,"Gartner Enterprise Architecture & Technology Innovation Summit - Digital business is having a profound impact on how organizations develop and pursue new technology-enabled business models. Learn how to scale your role to meet your organization’s digital business expectations to ensure you’re not left behind."
159,"php[tek] 2020 -	We are the longest-running web developer conference in the United States that has a focus on the PHP programming language."
160,"Manhattan Momentum - Meet the next generation of active software and solutions designed to help your enterprise maximize efficiency and exceed expectations. Learn what's new and prepare for what's next in digital commerce technology while gathering industry insight that helps you maximize your potential every step of the way."
161,"Inspire Fest - Inspire Fest is an international festival of technology, science, design and the arts, which also happens to place diversity and inclusion at its heart."
162,"Code Conference - Code is where leaders in tech are faced with hard-hitting questions and candid conversations about what’s next for their companies. It digs deeper into challenges and opportunities of industry stalwarts, and talks with the new generation of technology titans who are casting the future."
163,"AWE USA 2019 - AWE (Augmented World Expo) is the world's #1 AR+VR conference and expo. Join AWE's 250+ exhibitors, 400+ speakers and 6,000+ industry leaders to learn why every organization, startup, and investor must dive into XR."
164,"SubSummit - The Subscription Summit is the first and only conference devoted exclusively to those who work in or alongside the subscription commerce industry. SubSummit connects today’s industry leaders, innovators and partners that are driving the rapid evolution of how consumers discover, buy and experience new products."
165,"WeAreDevelopers World Congress 2020 - WeAreDevelopers World Congress brings together 8,000 techies from 70 countries for 72-hours of pure dev-fun, with more than 150 of the brightest minds in tech and the largest playground for developers in Europe."
166,"Enterprise UX - Enterprise UX is dedicated to delivering useful, delightful, and humane experiences to people who work for and in enterprises. Rosenfeld Media started producing Enterprise UX in 2015—in partnership with Rackspace, which hosted the conference at their San Antonio headquarters—and it’s grown ever since."
167,"iCEE.fest - iCEE.fest is the top Internet-dedicated initiative in Central and Eastern Europe, designed to upgrade the way we look at the world and ourselves. The conference focuses on latest digital & tech intelligence in media, MarCom, health, economics and life."
168,"Superlógica Xperience -	We are Superlógica Xperience, the biggest Latin’s America SaaS and Subscription event. Our third edition will bring the latest discussions about subscription economy in Brazil and across the globe, bigger and better. "
169,"Gartner Digital Marketing Conference - The Gartner Digital Marketing Conference provides the insights senior marketing leaders need to deliver results in a fast-paced environment. "
170,"Gartner Security and Risk Management Summit - The premier gathering of security, risk management and business continuity management leaders, this conference delivers the insight you need to guide your organization to a secure digital business future."
171,"Mendix World - Mendix World is the premier global event for anyone serious about digital innovation in the enterprise. Business and IT leaders from every corner of the world are challenged to push the boundaries for product innovation, experiment with new technology, find new ways to engage with customers, and most importantly, ‘Go Make It.’"
172,"WSJ Tech Health - The Wall Street Journal’s second health technology conference will explore how the global health-care industry is being disrupted by advances and innovations in technology."
173,"Computex - From key components to end products, consumer electronics to industrial solutions, ICT products to cross-field IoT solutions, COMPUTEX TAIPEI provides a one-stop procurement platform for global buyers."
174,"99UConference - A one-of-a-kind live experience that inspires creative professionals to bring their ideas to life and shape the future of the industry."
175,"Big Data x AI Toronto Conference - With the rise of Deep Learning, AI, IoT, and Digital Transformation, this conference offers you the knowledge and tools to master the data universe. "
176,"InnoVEX - InnoVEX is positioned as the innovation hub of Asia that includes exhibitions, pitch contests, matchmaking sessions, forums, & more."
