id,description
177,"JSNation - Amsterdam JSNation it a two-day event focused on JavaScript development. The conference includes inspiring talks, networking opportunities, and workshops that bring together the developer community."
178,"Think About! - Think About! is a 2-Day Community Event about Technology, Design and their impact on Society."
179,"WordCamp Europe - WordCamp Europe is the biggest WordCamp in Europe, connecting people across the continent as well as the rest of the world."
180,"The Digital Transformation Conference - The Digital Transformation Conference brings together leaders spearheading digital initiatives in their organizations to offer insights into their digital transformation journey's."
181,"Evolve Technology Conference - A two-day leadership & technology conference focusing on forward-thinking and cutting edge IT solutions."
182,"Conquer Local 2020 - At Conquer Local 2020, you’ll learn the latest tactics and strategies, ensuring your company is capitalizing on its full client potential."
183,"Identiverse	- Identity is transformational. Discover the critical engine that drives customer acquisition and retention, and supports your regulatory and security imperatives."
184,"LiveWorx - LiveWorx is the world's most respected Digital Transformation conference for the enterprise. Experience the most innovative and disruptive technologies — IoT, AR/VR, machine learning, blockchain, robotics and more — at LiveWorx, the world’s leading technology conference and industrial marketplace."
185,"London Tech Week - The festival brings together the best of the global tech community to explore how technology can be used to tackle some of the world’s toughest business, social, and environmental challenges."
186,"ReMeP - ReMeP 2020 connects researchers working on specific legal tech projects with businesses looking for automation tools."
187,"The Customer Service Summit	 - At the Customer Service Summit West, the mission is to give leaders the tools and strategies to drive customer service to the center of the business and exceed customer expectations."
188,"RightsCon - RightsCon is the world's leading summit on human rights in the digital age. Originally called the Silicon Valley Human Rights Conference, RightsCon rotated annually between San Francisco and another global city. Now, RightsCon visits new host cities each year that are power centers for technology and human rights. "
189,"Gartner Enterprise Architecture & Technology Innovation - Digital business is having a profound impact on how organizations develop and pursue new technology-enabled business models. Learn how to scale your role to meet your organization’s digital business expectations to ensure you’re not left behind."
190,"VivaTech - France's premier tech conference that brings together the biggest names in Paris' growing startup industry."
191,"Future of FinTech: The Disruption of Financial Services - The Future of Fintech is an exclusive gathering of the world's largest financial institutions, best fintech startups, and most active venture investors."
192,"Tangoe LIVE - Join this event for four days of education, networking, training and entertainment with the singular goal of helping you optimize your organization’s IT infrastructure."
193,"AgileAus19 - Agile Australia is a national Agile Conference held annually since 2009. The conference will talks designed to represent the depth of breadth of the Australian Agile community."
194,"O'Reilly Software Architecture Conference - The program at Software Architecture is designed for anyone making architecture-level decisions—even if you don’t hold the architect title. Join hundreds of the best and brightest engineers, senior developers, tech leads, architects, and managers to get the skills and know-how to design, build, improve, and communicate the architectures that are the foundation of all modern software systems."
195,"O'Reilly Infrastructure and Ops Conference - Attend Infrastructure & Ops to explore topics related to building and maintaining complex systems, migrating to the cloud, site reliability engineering, infrastructure as code, and more."
196,"Workforce Technology Conference - The event is hosted to highlight online software solutions developed for job seekers, employers, state and local workforce staff, labor market analysts, economic development professionals, career counselors, and training providers across the country."
197,"DeveloperWeek New York 2019 - DeveloperWeek New York is the East Coast's largest developer technology innovation conference with 3,000+ participants. DeveloperWeek New York includes 100+ workshops and sessions across AI Dev, FinTech Dev, JavaScript, Containers & Kubernetes, Microservices, and more."
198,"VidCon - The world's biggest conference for online video. From creators to consumers, VidCon is for video lovers from all over the world."
199,"EdTechXEurope - EdTechXEurope is the leading thought leader summit bringing together executive level investors and industry influencers from international education companies."
200,"Gartner CIO & IT Executive Summit - This conference empowers CIOs and IT leaders to adapt their organization, environment, and leadership to excel in an ever changing digital world." 
201,"The Next Web - Bringing together great content and great people in an incredible setting, The Next Web's unrivaled feeling of intimacy guarantees amazing business learnings and an awesome time."
202,"COLLISION - Collision is “America’s fastest growing tech conference” created by the team behind Web Summit, gathering CEOs of top startups and enterprises."
203,"4Front - 4Front is a two-day conference that brings together more than 1,500 senior and c-suite leaders in global connectivity, healthcare, education and technology to decide the future of how we live, work, learn and play. 4Front is about connecting the people who are inventing and creating the world of tomorrow through the technologies and solutions that enhance the human condition."
204,"Connected Claims USA Summit - At the Connected Claims USA conference, join 700+ claims visionaries and leaders to gain inspiration and tools for immediate implementation from innovative insurance case studies."
205,"App Design & Development Conference - ADDC aims to create an opportunity for designers and developers to meet, find new ways to work together and get inspired in an open, inclusive and collaborative space."
206,"FullStack London 2020 - FullStack 2020 returns to London in its seventh edition. Now hosted at the Business Design Centre, FullStack London has been growing each year and still remains the best place to connect with the international JavaScript community!"
207,"ITEC - ITEC is aimed at helping the industry in the transition from conventional vehicles to advanced electrified vehicles. The conference is focused on components, systems, standards, and grid interface technologies, related to efficient power conversion for all types of electrified transportation."
208,"Mobile World Congress Shanghai - MWC Shanghai is Asia’s biggest mobile event, organized by the GSMA and held each year in the business hub of Shanghai, China."
209,"Esri User Conference - The Conference presents a unique opportunity to share your geographic information system (GIS) success story with your peers from the global user community."
210,"Future Festival: Chicago - The Chicago Innovation Conference is a 1 Day Accelerated Program that brings Chicago innovators the best of our epic Future Festival - Trend Hunter's multi-day trends, insight and innovation mega-event."
211,"Future Festival: Los Angeles - Over the course of one action-packed day, you will learn about future trends, key consumer insights, and disruptive innovations that will cause major industry shifts."
212,"Future Festival: New York - Get immersed in the most important trends, network with key innovators from your city and get the innovation insights you need to bring your team to the next level."
213,"Laracon 2020 - Laracon US is an annual gathering of people who are passionate about building amazing applications with the Laravel web framework."
214,"Mobile Growth Summit New York - MGS New York is a single-day, non-vendor conference which will help you to connect with and learn from mobile growth and brand marketing professionals specializing in the areas of user acquisition, monetization, retention/engagement, re-engagement as well as data science & analytics as it pertains to mobile, retail and mCommerce brands."
215,"Tech Open Ai - Be part of Tech Open Air 20 – meet the who's who of the international tech and creative scene and listen to high-profile speakers."
216,"AI & Big Data Expo - The AI Conference & Exhibition is a showcase of next generation technologies and strategies from the world of Artificial Intelligence, an opportunity to explore and discover the practical and successful implementation of AI in driving forward your business in 2020 and beyond. "
217,"RegTech Summit - RegTech Summit is the leading event to address regulation and compliance in finance – offering unparalleled access to decision makers, visionaries, influencers and disruptors from the world of finance."
218,"Fortune Brainstorm Tech - An invitation-only summer retreat for leaders from Fortune 500 companies, top tech entrepreneurs, and the most important investors who finance them."
219,"O'Reilly Open Source Software Conference - Explore the latest tools and technologies, get expert in-depth training in crucial languages, frameworks, and best practices, and get exposure to the open source stack in all possible configurations."
220,"ÜberConf - ÜberConf will bring together many of the industry's best project leaders, developers, authors, and trainers."
221,"Dash - Dash is an annual conference about building and scaling the next generation of applications, infrastructure, and technical teams. The two-day conference brings together more than 2,000 engineers across dev and ops who are taking their systems and organizations to the next level of velocity, performance, reliability, and scale."
222,"Algorithm Conference - Algorithm Conference 2020 will bring you 3 days of high-level workshops and presentations that showcase how algorithms have been shaping and will continue to shape every aspect of our lives"
223,"Product-Led Summit - The Product-Led Summit is a place to learn how to launch and optimize a free trial or fremium model. Learn from SaaS product and marketing experts from companies like Hubspot, Appcues, Intercom, and WalkMe."
224,"2nd International Conference on Advanced Artificial Intelligence - The Conference includes keynote presentations, workshops, symposiums, sessions, and exhibitions related to the advancements of artificial intelligence and robotics."
225,"JupyterCon - At JupyterCon, learn how teams of data scientists, business analysts, and researchers use the Notebook and other Jupyter tools to create self-documenting analysis and apps, transform workflows, and build organization-wide collaboration."
226,"The Disney Data and Analytics Conference - The Disney Data & Analytics Conference will bring together over 2000 executives, managers, and analysts representing over 250 companies and universities, plus all segments of The Walt Disney Company, including Parks & Resorts, Media Networks, Studio Entertainment, and Consumer Products & Interactive Media."
227,"XLIVE Esports Summit - Learn from 175+ senior executives as they identify the business opportunities and barriers to entry in an industry that is expected to be worth close to $1 billion by 2020. "
228,"Black Hat USA - A highly technical information security conference that brings together thought leaders from all facets of the information security world."
229,"Visual Studio Live! Redmond Code Trip - Visual Studio Live! provides attendees with cutting-edge techniques needed to solve development challenges with shipping or soon to be shipping technologies compatible with the Microsoft Platform."
230,"THAT Conference - A tech conference for developers, rooted in community, exploring the internet of things, and all technologies used for mobile, web & cloud. It all happens at a giant waterpark, because we are strong believers in good times."
231,"Visual Studio LIVE! Redmond	- Join our Visual Studio Live! experts at the Mothership for 5 days of developer training and special Microsoft perks unique to our other show locations."
232,"Business Tech Expo - Business Tech Expo is Texas' largest business tech B2B trade show, conference & networking event, it brings together thousands of business owners and decision-makers to shop for products & services from suppliers."
233,"eTail - eTail is at the cutting edge of multi-channel and eCommerce. Experience electric keynotes and tailored networking in the heart of historic Boston."
234,"UX and Digital Design Week - During a whole week, you’ll immerse yourself in London's technology and creative industry exploring the hottest trends and latest inventions. You will have a chance to meet the teams behind the most ground-breaking products and learn how they approach to design strategy, work with clients and improve their services. "
235,"Javascript & Friends Conference	- Our mission is to bring a diverse group of around 200 JavaScript developers and friends to learn new skills and concepts and to network and develop new relationships."
236,"Mobile Growth Summit Canada	- A wide variety of sessions are offered ranging from the fun “Mobile Marketing Showdown”, to concrete case-studies on app monetization, creative optimization, retention, which equips attendees with usable tools and strategies."
237,"DevOps Talks Conference	- DevOps Talks Conference attracts leaders and engineers who are practicing DevOps in startups and leading-edge enterprise companies."
238,"INBOUND	- INBOUND's purpose is to provide the inspiration, education, and connections you need to transform your business."
239,"ILTACON - A conference that draws on the experience of professionals employing ever-changing technology within law firms and legal departments."
240,"Gartner Catalyst Conference - Catalyst Conference is the only multi-role event for technical professionals and is designed to help you execute your organization’s key technology initiatives. Created for technical professionals, Gartner Catalyst Conference goes beyond the trends and gets straight to what you need: hands-on, how-to advice and practical solutions."
241,"SharePoint Fest: Seattle - Join this SharePoint Seattle to attend technical classes and workshops taught by Microsoft Certified Trainers, Microsoft engineers and Microsoft MVPs."
242,"VMworld US - Four full days of innovation to accelerate your journey to a software-defined business. "
243,"ApacheCon - This conference is aimed at gathering developers and the collective Apache community worldwide. The goal is to share information and forge connections to help brands utilizing the world's largest Open Source foundation."
244,"APPALIE SaaS Conference + Awards - APPALIE SaaS Conference is a full day of leading CEOs + CXOs describing how to drive excellence in SaaS. Network with peers and see the 2020 SaaS award winners."
245,"Artificial Intelligence Conference: San Francisco - Leaders and innovators will explore the most promising applied machine learning and artificial intelligence topics, including AI for structured business data, deep learning models, NLP, chatbots, and more. "
246,"Cloud Foundry Summit - The conference drives the global awareness and adoption of CF technologies, grows a vibrant community of contributors, and creates coherence in strategy and action."
247,"CXtech - Discover the technologies that will transform every aspect of your CX; how you design it, how you deliver it and how you analyze its impact on your customers and business."
248,"Future Port Prague - Focusing on the incredible potential of technologies like artificial intelligence, VR, robotics, 3D printing, future mobility, and future healthcare, come be a part of the largest international visionary and futuristic event in the heart of Europe. "
249,"IAC Conference - The International Academy of CIO (IAC) conference will host speakers and sessions around the topic of “Driving Digital Government Transformation by Innovative Technologies."
250,"ICE by Igloo - At ICE, attendees will come together with experts and peers to share strategies and best practices for improving engagement, cultural alignment, productivity, and innovation."
251,"Intentional Play Summit - The Intentional Play Summit explores games and emerging tech for learning and social impact brining together over 30 industry leaders for a day full of learning, networking, and inspiration."
252,"Khoros Engage - Engage is three days conference packed with best practices presented by top brands, hands-on workshops, and inspirational thought leadership."
253,"Open Networking Summit - Open Networking Summit is the industry’s premier open networking event, gathering enterprises, service providers and cloud providers across the ecosystem to share learnings, highlight innovation and discuss the future of Open Source Networking, including SDN, NFV, orchestration and the automation of cloud, network, & IoT services."
254,"ProductCon - Learn best practices behind the most successful products, and new trends in AI, VR, IoT and Blockchain."
255,"Pure // Accelerate - A conference focused on the trends and impact of storage software for consumers and businesses alike."
256,"SLUSH Shanghai - Slush entered China in 2015 with its debut event being held in Beijing. Ranked by Forbes magazine, Slush Shanghai has become the leading international startup and technology event in China."
257,"Strata Data Conference: New York - Strata Data Conferences bring together some of the world's smartest data scientists and business strategists to share new skills, share best practices, and lay a foundation for the future."
258,"The Personalization and CDP Summit - Join 300+ marketing, ecommerce, customer experience, and product management professionals from leading companies to learn new personalization strategies and techniques, discover the latest trends and best practices, hear real-world use cases, and get actionable ideas to help you take your personalization initiatives to the next level."
259,"Digital Summit: Washington DC - Digital Summit DC will have 40+ sessions from experts from Bit.ly, LinkedIn, and National Geographic covering topics in strategy, mobile, video, social media, email, content marketing, UX design, and SEO. "
260,"Ai4 - The Ai4 2020 conference gathers business executives and data practitioners to discuss the facilitation and adoption of artificial intelligence within various industries such as cybersecurity, healthcare, finance, retail, telecom, transportation, energy, and more. With 200+ speakers, 100+ exhibitors, 10+ tracks, 1,500+ attendees, and countless networking opportunities, Ai4 will help you no matter where you are in your AI journey."
261,"IFA - IFA in Berlin presents the latest products and innovations in the heart of Europe‘s most important regional market."
262,"Intelligent Health - Intelligent Health is the world's first large-scale summit dedicated to AI in healthcare. The event will show presentations from the 100 brightest brains in healthcare and tech and host around 2000+ across the entire AI health ecosystem of pharmaceutical, biotech, medtech, health provision, clinicians, insurance, investment and science."
263,"Open Data Science Conference India - ODSC is one of the biggest specialized data science event, with a focus on impactful tools and leading industry practices. Our speakers include core contributors to many open source products used by data scientists all over the world."
264,"AI in Finance and Insurance Summit - Discover advances in AI & machine learning tools and techniques from the world's leading innovators across industry, research and the financial sector."
265,"Connected Insurance Canada - Connected Insurance Canada is the only forum bringing together senior innovation teams and business unit executives to explore how to harness AI, automation, product development and seamless claims delivering both an enhanced customer experience and a more efficient carrier. "
266,"IEEE 5G World Forum - IEEE 5G World Forum program presentations, sessions and workshops will delve into practical aspects of 5G development and examine opportunities for innovation in vertical markets and new applications where 5G serves as the entry point."
267,"TechCrunch Disrupt 2019 - TechCrunch Disrupt, the world’s leading authority in debuting revolutionary startups, is coming to Moscone. Disrupt gathers the best and brightest entrepreneurs, investors, hackers, and tech fans for on-stage interviews, the Startup Battlefield competition, a 24-hour Hackathon, Startup Alley, CrunchMatch and after-parties."
268,"DATAx Singapore - This gathering for 250+ big data pioneer will bring you 30+ keynote speeches across industries, providing the latest big data practices as well as cutting edge knowledge."
269,"SpiceWorld - SpiceWorld is powering the IT world together by bringing thousands of IT pros and hundreds of tech vendors to the Austin Convention Center for 3 jam-packed days."
270,"Mobile Growth Summit Europe - MGS Europe is a two-day, non-vendor conference which will help you to connect with and learn from mobile growth and brand marketing professionals specializing in the areas of user acquisition, monetization, retention/engagement, re-engagement as well as data science & analytics as it pertains to mobile, retail and mCommerce brands."
271,"Business of Software Boston - Business of Software is a single-track conference to help you build great software and turn it into profitable business."
272,"Interop - Join IT professionals looking to apply technology solutions to drive better business outcomes and increase your value and contributions to the organization."
273,"SPIE Security and Defense 2020 - The conferences in SPIE Security + Defence brings together engineers, scientists, program managers and policy makers on the latest developments in sensing, data and signal analysis, quantum science, optical technologies, and funding programs."
274,"DevOps World - DevOps World | Jenkins World is the #1 event for all DevOps and Jenkins enthusiasts. Learn, connect, and have fun with your peers when you join us onsite in 2020."
275,"INDUSTRY: The Product Conference - At INDUSTRY: The Product Conference, you’ll explore with other Product Management professionals, startup founders and renowned product leaders the new methods, frameworks and tools being used to build, launch and scale groundbreaking software products."
276,"AI Summit London - This year's summit includes the brightest minds in deep learning, computer vision, NLP, GANs, AI ethics, accountability and transparency."
277,"The Digital Transformation Conference -	The Digital Transformation Conference brings together leaders spearheading digital initiatives in their organizations to offer insights into their digital transformation journey's."
278,"IT Arena - IT Arena is the largest tech event in Ukraine and Eastern Europe. The three-day international conference, conducted exclusively in English, brings together more than 4,000 IT professionals and over 100 outstanding speakers from all around the world."
279,"GlueX - GlueX produced by IT Glue,  a leading IT documentation application. Last year’s sold-out incarnation of the event received rave reviews, with attendees citing a truly unique thought leadership experience. This year promises to be a transformative experience for attendees. "
280,"Visual Studio Live! - Visual Studio Live! is proud to be one of the most respected, longest-standing independent developer conferences, bringing folks together for intense developer education, knowledge-share and networking for over 25 years."
281,"OpenText Enterprise World 2020 Vienna - A three-day conference to help you become an Intelligent and Connected Enterprise."
282,"OCP Regional Summit	- The annual Summit brings together  key decision makers, executives, engineers, developers and suppliers. Together, they help grow, drive and support the open hardware ecosystem in, near and around the datacenter and beyond."
283,"All Markets Summit - At our 7th All Markets Summit in New York we will bring together senior business leaders across technology, government, finance, fintech, media, business services and non-profits. They are joined by top media outlets and a wide range of start-ups."
284,"Artificial Intelligence Conference: London - This conference explores both technical and non-technical presentations in key topic areas, including AI in the enterprise, its impact on business and society, implementing AI projects, and interacting with AI."
285,"Blended and Online Learning Symposium - TBD	The industry’s leading event for K-12 competency-based, blended and online learning."
286,"Bloomreach Connect Amsterdam - The heart of digital transformation is not the technology, but the way we use that technology to work together. Join industry-leading brands and Bloomreach experts to discover innovation in today's business environment."
287,"Caribbean Developers Conference - CDC is designed to bring together software professionals and entrepreneurs across languages, platforms, and industries. "
288,"Geekwire Summit - Bringing together more than 900 entrepreneurs and tech leaders to explore the future of the innovation economy."
289,"MedFuse - MedFuse is a conference focused on the intersection of connected devices and data within the broad spectrum of medical practice from healthcare to medical devices. "
290,"M-Force20 - M-Force20 North America is Miratech’s annual global conference on Value Innovation. The event is unique in bringing together attendees from over 10 countries, and connecting global enterprise innovation with startup innovation."
291,".NET DeveloperDays - The biggest event in Central and Eastern Europe dedicated exclusively to application development on the .NET platform. This event is designed for architects, developers, testers and project managers using .NET."
292,"OnBrand - OnBrand is the most on-trend gathering of Europe’s brightest minds in marketing, tech, and design. Every year, major players come together in Amsterdam, Europe’s international creative hub, to discuss the intersection between marketing and technology, and the trends set to shape the future of the industry."
293,"Open Data Science Conference West - ODSC West is one of the largest applied data science conferences in the world. Our speakers include some of the core contributors to many open source tools, libraries, and languages."
294,"PHP[World] - Join us as we celebrate this historic anniversary with special panels, anniversary parties, recounting the last 25 years of where PHP started and how far it has come."
295,"Reactive Conf - ReactiveConf is a 3 day European-wide web & mobile development festival in the heart of Europe made for functional developers, where World-class JS experts share unique insights."
296,"Zoomtopia - Zoomtopia 2020 will feature insightful keynotes, breakouts, deep dive trainings, and workshops that will make you better at your job. You’ll be able to get all your questions answered and demo what’s new at the Zoom Expert Bar. "
297,"Timmy Awards - The Timmy Awards aim to celebrate regional tech communities and the companies and individuals leading the way to create the best places for tech professionals to work."
298,"Mind the Product - Mind the Product is the world’s largest product management conference with annual flagship conferences in San Francisco, Singapore, and London attracting thousands of attendees each from all over the world."
299,"Hosting + Cloud Transformation Summit - A forum for executives in the hosting, cloud computing, data center and Internet infrastructure sectors."
300,"VOICE Summit - VOICE is this year's largest voice tech conference that brings the conversational design ecosystem together in one place for four days of jam packed content, networking, and fun."
301,"Arm TechCon - Arm TechCon is a comprehensive 3-day event tailored for developers, engineers and executives covering topics from chip design and software development to security, infrastructure, automotive, machine learning, IoT and more."
302,"Future in Review - The leading global conference on the intersection of technology and the economy. If your success depends on having an accurate view of the future, or you’d like to meet others who are able and motivated to forge action-based alliances, this is a conference to attend."
303,"Festival of Marketing - The Festival of Marketing is a unique experience where ambitious marketers can discover, learn, celebrate and shape the future together."
304,"ITEN Wired - ITEN Wired is the Gulf Coast's premier conference for entrepreneurs, executives, professionals, and educators working in technology. "
305,"Reach - G2’s second-ever, one-day-only conference, designed specifically for people who sell and market software. From this one-day only event, leaders in the tech space should expect to: reinvent the way they sell and market software, revitalize their people, their energy, and their drive, and refresh the way they think about sales and marketing."
306,"World Summit AI - World Summit AI will guarantee fast-paced innovation and safe progress in machine and deep learning while sparking new partnerships, investment projects, and tech collaborations. "
307,"SaaStock - Join 1,500 founder, VC's, and execs in Dublin for SaaStock, the conference to learn how to build a category leading B2B SaaS business. "
308,"Talent Connect - LinkedIn's annual Talent Connect is the premiere annual event for the global talent industry."
309,"O'Reilly TensorFlow World Conference - Attend TensorFlow World to see TensorFlow 2.0 in action, discover new ways to use it, and learn how to successfully implement it in your enterprise."
310,"WSJ Tech - At this event, The Wall Street Journal brings together tech’s most ambitious minds — from the investors, founders and C-suite executives disrupting the status quo to the industry giants fostering innovation and driving growth."
311,"Toronto AI Summit - Bridging the gap between the latest technological research advancements and real world applications in business and society."
312,"AI DevWorld - The conference targets software engineers and data scientists who are looking for an introduction to AI, as well as AI & ML professionals looking for a landscape view on best practices, practical applications, and the newest AI technologies."
313,"Mobile World Congress Americas - The premier industry event that highlights the role of the Americas in driving global innovation."
314,"Virtual Reality Nordic 2020	- Virtual Reality Nordic 2020 is a one-day event dedicated to building the Nordic VR ecosystem by bringing innovators, futurists, and VR collaborators together."
315,"O'Reilly Infrastructure & Ops Conference - Attend Infrastructure & Ops to explore topics related to building and maintaining complex systems, migrating to the cloud, site reliability engineering, infrastructure as code, and more."
316,"The AI Summit - The AI Summit New York is designed to provide the platform to both turbocharge and safeguard your organizations’ AI journey. Whether through one-to-one engagement with AI pioneers, world-exclusive presentations from leading business strategists, or deep-dive workshops with the brightest minds in tech."
317,"Adobe MAX - Fill your brain and inspire your heart — get excited to go create."
318,"Microsoft Ignite - Microsoft Ignite gives you five days of hands-on learning, industry insights, and direct access to product experts all in one place."
319,"O'Reilly Software Architecture Conference - The O'Reilly Software Architecture Conference gives attendees the tools, techniques, and leadership skills both aspiring and veteran software architects need. Go deeper and broader on crucial topics like microservices, product management, serverless, leadership, and domain-driven design."
320,"IEEE Rebooting Computer Week - Join IEEE at Rebooting Computing Week to hear industry leaders from Microsoft, Google, D-Wave Systems Inc., and many others discuss topics including Quantum, Artificial Intelligence, Large-Scale Systems, Moore’s Law, and more."
321,"Qt World Summit Berlin - Qt World Summit 2019 Berlin is the largest Qt event of the year brings together the Qt ecosystem of customers, partners and #QtPeople from different industries around the world. The event offers inspiration to leading technology innovators, industry experts, startups, and device creators, featuring speakers from Rimac Automobili, Google, TopControl and more."
322,"Voice & Advanced Communications Summit - Design the next generation of advanced comms services and unlock new use cases while retaining Voice revenues."
323,"DeveloperWeek Austin - DeveloperWeek Austin includes conferences and tracks including the JavaScript Summit, the AI & ML Dev Summit, API & Microservices Summit, DevExec + Team Lead Summit, and more. The show also features 40+ innovators exhibiting at the DeveloperWeek Austin Expo. "
324,"Odoo Connect 2019 - Join us at this 3-day event to learn how a business management software solution can help your startup cut costs, boost sales, and become more efficient."
325,"Open Mobile & Digital Experience Summit - The Open Mobile & Digital Experience Summit brings together Chief Digital, Product, Marketing officers from America’s most powerful and innovative brands to shape how we can create personalized, seamless and connected digital and mobile experiences that impact and add value to customers daily lives."
326,"The Big Elixir - The Big Elixir is a two-day, single track conference to help developers take their Elixir skills to the next level."
327,"Mobile Growth Summit Asia - MGS Asia is a two day, non-vendor conference which will help you to connect with and learn from Mobile Growth and Brand Marketing professionals specializing in the areas of User Acquisition, Monetization, Retention/Engagement, Re-Engagement as well as Data Science & Analytics as it pertains to Mobile, Retail and mCommerce Brands."
328,"Ai4 Healthcare - Over two days, the Ai4 Healthcare conference brings together business leaders and data practitioners to facilitate the adoption of artificial intelligence and machine learning technologies."
329,"FreightWaves LIVE - The hottest event in the world of freight. This two-day event brings together thought leaders and visionaries from both the supply chain and technology worlds. You can expect fascinating keynote speakers, thought provoking debates, interesting fireside chats, and rapid-fire software demos."
330,"Big Data London - Big Data LDN (London) is a free to attend conference and exhibition, hosting leading data and analytics experts, ready to arm you with the tools to deliver your most effective data-driven strategy."
331,"Programmatic Pioneers Summit - Programmatic Pioneers is a programmatic advertising conference for brands, publishers and agencies. The conference will feature 50+ speakers from innovative brands like Macy’s, AT&T, Disney, Samsung, Nestle and many others to teach attendees how to optimize their data to deliver the most accurate audience segmentation across channels through programmatic spend."
332,"Spinnaker Summit - Join us and discover how Spinnaker and Kubernetes integrate seamlessly to make software deployment pipelines more flexible and also help with visibility, configuration, and easier rollbacks. "
333,"KubeCon + CloudNativeCon - Join Kubernetes, Prometheus, OpenTracing, Fluentd, gRPC, containerd, rkt, CNI, Envoy, Jaeger, Notary, TUF, Vitess, CoreDNS, NATS, Linkerd and Helm as the community gathers for four days to further the education and advancement of cloud native computing."
334,"Info-Tech LIVE: Las Vegas - LIVE is the must-attend event for any IT executive serious about improving business and IT alignment throughout their organization. The event’s tactical agenda is designed by practitioners to focus on real, everyday challenges, ensuring that all attendees are engaged, productive, and challenged throughout the program."
335,"Open Data Science Conference - At ODSC, the conference hosts not only data scientists but many other professional looking to accelerate their skills and knowledge including software engineers, analysts, executives and much more across many industries."
336,"SLUSH Helsinki - The on-stage and off-stage program is going all out to give you the best, hands-on advice by entrepreneurs, for entrepreneurs."
337,"MIT's AI and the Work of the Future Congress - Join MIT as we gather leading academics, business leaders, entrepreneurs, education and labor leaders, and policy makers to explore the impact and future trends of technological disruption, rethink the nature of work, and chart a course for catalyzing innovation for inclusion and economic opportunity for all."
338,"V2V Summit & 7th DSCUP International Entrepreneurship Pitch	- V2V SUMMIT&DSCUP PITCH is a high-quality and broad “Entrepreneurship+” platform that connects US-based innovators and entrepreneurs with international investors, corporations, and strategic partners."
339,"Ad:Tech Tokyo - Known as Asia's Largest Marketing Conference, ad: tech Tokyo is part of a global marketing series, which has been held in major cities around the world. It is where Brands, Agency, Media and Solution Providers comes together to get-to-grips with the latest trends, innovations and technologies."
340,"DevOps World - DevOps World | Jenkins World brings together DevOps thought leaders, IT executives, continuous deliver practitioners and the Jenkins community in one global event providing attendees with opportunities to learn, explore, and network."
341,"2019 New England Venture Summit - This highly productive venture conference is dedicated to showcasing VCs, Corporate VCs, and angel investors committed to funding venture backed, emerging, and early stage startups. SPECIAL OFFER: Use code BIZZABOVIP for an additional 10% off your registration."
342,"ConTech 2019 - ConTech 2019 is aimed at information providers and content owners who increasingly have to address the challenges of competing in a data world, driven by machine learning, artificial intelligence and other emerging technologies."
343,"CRETech - CREtech events are a must-attend for commercial real estate professionals to network, discover and learn about how technology is revolutionizing the industry."
344,"Future of AI - We created Future of AI to be the first of its kind event showcasing the latest innovations, technologies and business models in AI and bringing together the leading companies, startups, investors, developers and tech giants for a chance to explore, learn and network together."
345,"Fintech Junction - FinTech Junction has become a leading conference on technology and innovation in the financial industry. This year, for the first time, FinTech Junction is coming to Europe! And this time you will enjoy not 1, but 3 co-located events: FinTech Junction, Future of AI and Chatbot Summit."
346,"The AI Summit - The AI Summit New York is designed to provide the platform to both turbocharge and safeguard your organizations’ AI journey. Whether through one-to-one engagement with AI pioneers, world-exclusive presentations from leading business strategists, or deep-dive workshops with the brightest minds in tech."
347,"Recur 2019 - ProfitWell's annual conference Recur brings together the sharpest minds in the SaaS industry for an intensive one-day, one-track conference laser-focused on quality. The speaker lineup includes Nick Mehta, April Dunford, Chris Savage, Christopher O’Donnell, Chathri Ali, Michelle Huff, and more."
348,"Savvy UX Summit	- Savvy UX Summit 2019 is a two-day summit that features over 15 insightful talks and brings together industry experts to learn, network, and experience the latest UX trends by technology evolution."
348,"Savvy UX Summit	- Savvy UX Summit 2019 is a two-day summit that features over 15 insightful talks and brings together industry experts to learn, network, and experience the latest UX trends by technology evolution."